timestamp,local,lat,lon,velocidade_atual,velocidade_livre,congestao
2025-11-30 18:59:03.830042,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:02:14.843873,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:02:15.749088,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:02:16.691230,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:02:17.617276,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:05:28.458815,Centro,-23.5505,-46.6333,43,55,21.82
2025-11-30 19:05:29.322188,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:05:30.092660,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:05:30.901294,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:08:41.783698,Centro,-23.5505,-46.6333,42,55,23.64
2025-11-30 19:08:42.619916,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:08:43.424847,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:08:44.242114,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:11:55.049783,Centro,-23.5505,-46.6333,41,54,24.07
2025-11-30 19:11:55.892344,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 19:11:56.705149,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:11:57.521804,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:15:08.381996,Centro,-23.5505,-46.6333,41,55,25.45
2025-11-30 19:15:09.186629,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:15:10.004752,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:15:10.780585,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:18:21.620501,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:18:22.427784,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:18:23.267251,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:18:24.127214,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:21:34.964228,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:21:35.780132,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:21:36.579204,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:21:37.377500,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:24:48.290386,Centro,-23.5505,-46.6333,39,54,27.78
2025-11-30 19:24:49.116020,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:24:49.939552,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:24:50.760640,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:28:01.561004,Centro,-23.5505,-46.6333,42,55,23.64
